product_id,name,category,brand,price,tags
1,FreshPick Electronics Item 1,Electronics,FreshPick,34.28,Mid-Range|Summer Wear
2,ReadMore Clothing Item 2,Clothing,ReadMore,41.39,Mid-Range|Premium
3,ComfortPlus Health & Wellness Item 3,Health & Wellness,ComfortPlus,11.69,Budget
4,VitaLife Grocery Item 4,Grocery,VitaLife,21.93,Best Seller|Budget
5,VitaLife Electronics Item 5,Electronics,VitaLife,52.63,Mid-Range|Organic
6,GlowUp Books Item 6,Books,GlowUp,69.1,Best Seller|Mid-Range|Trending
7,AutoPro Health & Wellness Item 7,Health & Wellness,AutoPro,46.11,Cruelty-Free|Discounted|Mid-Range
8,ElectraWave Sports & Outdoors Item 8,Sports & Outdoors,ElectraWave,20.43,Budget
9,FreshPick Beauty Item 9,Beauty,FreshPick,199.21,Discounted|Locally Made|Premium
10,NatureBite Sports & Outdoors Item 10,Sports & Outdoors,NatureBite,71.29,Best Seller|Mid-Range
11,TrailBlaze Books Item 11,Books,TrailBlaze,75.47,Mid-Range|New Arrival|Premium
12,PureSkin Beauty Item 12,Beauty,PureSkin,62.42,Cruelty-Free|Mid-Range
13,PlayStar Clothing Item 13,Clothing,PlayStar,64.72,Mid-Range
14,PureSkin Clothing Item 14,Clothing,PureSkin,70.54,Mid-Range
15,NatureBite Electronics Item 15,Electronics,NatureBite,140.09,Premium
16,ReadMore Clothing Item 16,Clothing,ReadMore,6.33,Budget|Eco-Friendly|Imported
17,HomeHaven Clothing Item 17,Clothing,HomeHaven,25.18,Cruelty-Free|Mid-Range|Premium
18,PureSkin Home & Kitchen Item 18,Home & Kitchen,PureSkin,45.42,Eco-Friendly|Locally Made|Mid-Range
19,TrailBlaze Books Item 19,Books,TrailBlaze,23.0,Best Seller|Budget
20,PageTurner Grocery Item 20,Grocery,PageTurner,32.96,Mid-Range
21,TrailBlaze Beauty Item 21,Beauty,TrailBlaze,40.56,Mid-Range|New Arrival|Summer Wear
22,ElectraWave Electronics Item 22,Electronics,ElectraWave,33.07,Locally Made|Mid-Range
23,FreshPick Toys & Games Item 23,Toys & Games,FreshPick,74.12,Handmade|Mid-Range
24,FunZone Automotive Item 24,Automotive,FunZone,87.7,Mid-Range
25,VitaLife Grocery Item 25,Grocery,VitaLife,36.67,Mid-Range|Organic|Trending
26,DriveMax Sports & Outdoors Item 26,Sports & Outdoors,DriveMax,56.97,Mid-Range
27,DriveMax Automotive Item 27,Automotive,DriveMax,9.57,Budget|Imported|Trending
28,HomeHaven Grocery Item 28,Grocery,HomeHaven,8.35,Budget|Discounted
29,ComfortPlus Home & Kitchen Item 29,Home & Kitchen,ComfortPlus,49.96,Cruelty-Free|Mid-Range
30,VitaLife Home & Kitchen Item 30,Home & Kitchen,VitaLife,28.4,Cruelty-Free|Mid-Range
31,PureSkin Home & Kitchen Item 31,Home & Kitchen,PureSkin,102.74,Limited Edition|Premium
32,TechNova Electronics Item 32,Electronics,TechNova,52.2,Mid-Range|Premium
33,ActivePeak Automotive Item 33,Automotive,ActivePeak,27.2,Mid-Range
34,HomeHaven Toys & Games Item 34,Toys & Games,HomeHaven,26.33,Locally Made|Mid-Range
35,GlowUp Home & Kitchen Item 35,Home & Kitchen,GlowUp,41.55,Mid-Range
36,AutoPro Sports & Outdoors Item 36,Sports & Outdoors,AutoPro,18.42,Budget|Cruelty-Free
37,ComfortPlus Health & Wellness Item 37,Health & Wellness,ComfortPlus,28.47,Mid-Range
38,ReadMore Books Item 38,Books,ReadMore,35.23,Imported|Mid-Range
39,PureSkin Home & Kitchen Item 39,Home & Kitchen,PureSkin,8.18,Best Seller|Budget|Trending
40,AutoPro Clothing Item 40,Clothing,AutoPro,18.25,Budget
41,PageTurner Books Item 41,Books,PageTurner,39.66,Budget|Locally Made|Mid-Range
42,TechNova Health & Wellness Item 42,Health & Wellness,TechNova,160.64,New Arrival|Premium
43,HomeHaven Grocery Item 43,Grocery,HomeHaven,114.66,Cruelty-Free|Premium|Winter Wear
44,ActivePeak Sports & Outdoors Item 44,Sports & Outdoors,ActivePeak,55.68,Mid-Range
45,FreshPick Grocery Item 45,Grocery,FreshPick,66.73,Imported|Mid-Range|Trending
46,AutoPro Health & Wellness Item 46,Health & Wellness,AutoPro,76.72,Mid-Range
47,TrailBlaze Grocery Item 47,Grocery,TrailBlaze,10.46,Budget|Eco-Friendly|Imported
48,StyleCraft Clothing Item 48,Clothing,StyleCraft,102.89,Cruelty-Free|Premium
49,PageTurner Books Item 49,Books,PageTurner,51.95,Mid-Range
50,TechNova Home & Kitchen Item 50,Home & Kitchen,TechNova,15.65,Budget|Discounted|Mid-Range
51,PureSkin Beauty Item 51,Beauty,PureSkin,194.68,Premium
52,HomeHaven Electronics Item 52,Electronics,HomeHaven,4.07,Budget
53,StyleCraft Automotive Item 53,Automotive,StyleCraft,16.68,Budget
54,AutoPro Electronics Item 54,Electronics,AutoPro,120.11,Best Seller|Premium
55,FunZone Home & Kitchen Item 55,Home & Kitchen,FunZone,30.3,Limited Edition|Mid-Range|Trending
56,FunZone Sports & Outdoors Item 56,Sports & Outdoors,FunZone,4.47,Budget|New Arrival
57,ComfortPlus Home & Kitchen Item 57,Home & Kitchen,ComfortPlus,66.03,Discounted|Mid-Range
58,GlowUp Clothing Item 58,Clothing,GlowUp,92.78,Mid-Range
59,FreshPick Electronics Item 59,Electronics,FreshPick,86.72,Locally Made|Mid-Range|Premium
60,AutoPro Clothing Item 60,Clothing,AutoPro,36.99,Mid-Range
61,WellnessHub Automotive Item 61,Automotive,WellnessHub,2.86,Budget|Eco-Friendly|Summer Wear
62,VitaLife Home & Kitchen Item 62,Home & Kitchen,VitaLife,25.67,Cruelty-Free|Mid-Range
63,TechNova Grocery Item 63,Grocery,TechNova,14.0,Budget|Summer Wear
64,FreshPick Automotive Item 64,Automotive,FreshPick,21.94,Budget|Winter Wear
65,FreshPick Toys & Games Item 65,Toys & Games,FreshPick,29.46,Cruelty-Free|Mid-Range
66,PageTurner Sports & Outdoors Item 66,Sports & Outdoors,PageTurner,6.68,Budget|Limited Edition|Organic
67,ReadMore Beauty Item 67,Beauty,ReadMore,50.27,Mid-Range
68,FunZone Clothing Item 68,Clothing,FunZone,77.84,Mid-Range|New Arrival
69,UrbanEdge Automotive Item 69,Automotive,UrbanEdge,32.77,Mid-Range
70,StyleCraft Home & Kitchen Item 70,Home & Kitchen,StyleCraft,47.72,Discounted|Mid-Range|Premium
71,UrbanEdge Automotive Item 71,Automotive,UrbanEdge,90.7,Handmade|Mid-Range
72,VitaLife Health & Wellness Item 72,Health & Wellness,VitaLife,229.02,Premium
73,StyleCraft Sports & Outdoors Item 73,Sports & Outdoors,StyleCraft,9.7,Budget
74,TechNova Toys & Games Item 74,Toys & Games,TechNova,11.49,Budget
75,ActivePeak Sports & Outdoors Item 75,Sports & Outdoors,ActivePeak,20.36,Budget|Premium
76,HomeHaven Electronics Item 76,Electronics,HomeHaven,17.28,Budget
77,FunZone Beauty Item 77,Beauty,FunZone,13.74,Budget|Limited Edition
78,FunZone Beauty Item 78,Beauty,FunZone,80.38,Mid-Range
79,ActivePeak Sports & Outdoors Item 79,Sports & Outdoors,ActivePeak,27.5,Mid-Range
80,PureSkin Health & Wellness Item 80,Health & Wellness,PureSkin,8.35,Budget
81,HomeHaven Electronics Item 81,Electronics,HomeHaven,3.49,Budget|Mid-Range
82,NatureBite Clothing Item 82,Clothing,NatureBite,31.68,Mid-Range
83,PureSkin Automotive Item 83,Automotive,PureSkin,72.43,Mid-Range|Winter Wear
84,ActivePeak Electronics Item 84,Electronics,ActivePeak,68.63,Mid-Range|Winter Wear
85,UrbanEdge Health & Wellness Item 85,Health & Wellness,UrbanEdge,58.33,Imported|Mid-Range
86,PlayStar Clothing Item 86,Clothing,PlayStar,10.13,Budget|Locally Made|Winter Wear
87,WellnessHub Health & Wellness Item 87,Health & Wellness,WellnessHub,45.93,Mid-Range|Trending
88,VitaLife Books Item 88,Books,VitaLife,58.59,Mid-Range
89,GlowUp Home & Kitchen Item 89,Home & Kitchen,GlowUp,156.32,Budget|Premium|Trending
90,FreshPick Books Item 90,Books,FreshPick,19.47,Budget|Summer Wear
91,ComfortPlus Automotive Item 91,Automotive,ComfortPlus,21.93,Budget|Discounted|Handmade
92,FunZone Grocery Item 92,Grocery,FunZone,87.12,Limited Edition|Mid-Range|Summer Wear
93,PureSkin Home & Kitchen Item 93,Home & Kitchen,PureSkin,16.03,Budget|Organic
94,FunZone Health & Wellness Item 94,Health & Wellness,FunZone,31.86,Mid-Range
95,GlowUp Beauty Item 95,Beauty,GlowUp,89.96,Handmade|Mid-Range|Organic
96,StyleCraft Grocery Item 96,Grocery,StyleCraft,31.51,Cruelty-Free|Mid-Range
97,PlayStar Books Item 97,Books,PlayStar,64.21,Mid-Range
98,HomeHaven Books Item 98,Books,HomeHaven,154.0,Best Seller|Locally Made|Premium
99,HomeHaven Beauty Item 99,Beauty,HomeHaven,17.75,Budget|Imported
100,DriveMax Electronics Item 100,Electronics,DriveMax,47.64,Budget|Mid-Range
101,GlowUp Grocery Item 101,Grocery,GlowUp,4.42,Budget|Eco-Friendly|Winter Wear
102,StyleCraft Electronics Item 102,Electronics,StyleCraft,8.79,Budget|Handmade|Imported
103,NatureBite Beauty Item 103,Beauty,NatureBite,39.24,Mid-Range|New Arrival
104,AutoPro Clothing Item 104,Clothing,AutoPro,3.94,Budget|Eco-Friendly|Limited Edition
105,UrbanEdge Health & Wellness Item 105,Health & Wellness,UrbanEdge,17.09,Budget|Eco-Friendly|Trending
106,WellnessHub Books Item 106,Books,WellnessHub,4.12,Budget|Organic|Trending
107,ActivePeak Sports & Outdoors Item 107,Sports & Outdoors,ActivePeak,2.77,Budget|Discounted
108,DriveMax Toys & Games Item 108,Toys & Games,DriveMax,2.06,Budget|Premium
109,HomeHaven Sports & Outdoors Item 109,Sports & Outdoors,HomeHaven,74.04,Mid-Range
110,PlayStar Home & Kitchen Item 110,Home & Kitchen,PlayStar,49.6,Cruelty-Free|Discounted|Mid-Range
111,TechNova Electronics Item 111,Electronics,TechNova,48.23,Mid-Range|Winter Wear
